2019-06-07 22:50:49,285 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:49,286 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:49,287 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:49,288 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:49,297 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:49,692 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@3fbcce0a] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:49,698 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@5a3ecbb1] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:49,817 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:49,885 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:49,984 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:49,985 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:49,987 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:49,988 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:49,989 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:49,996 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:50,333 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@6ac4bc4f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:50,338 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@70c6238] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
2019-06-07 22:50:50,411 INFO  - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2019-06-07 22:50:50,460 INFO  - HHH10001008: Cleaning up connection pool [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:50,555 WARN  - HHH10001002: Using Hibernate built-in connection pool (not for production use!)
2019-06-07 22:50:50,556 INFO  - HHH10001005: using driver [org.h2.Driver] at URL [jdbc:h2:mem:football_league_repository;INIT=CREATE SCHEMA IF NOT EXISTS football_league_storage]
2019-06-07 22:50:50,557 INFO  - HHH10001001: Connection properties: {password=****, user=sa}
2019-06-07 22:50:50,558 INFO  - HHH10001003: Autocommit mode: false
2019-06-07 22:50:50,559 INFO  - HHH000115: Hibernate connection pool size: 20 (min=1)
2019-06-07 22:50:50,578 INFO  - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2019-06-07 22:50:50,928 INFO  - HHH10001501: Connection obtained from JdbcConnectionAccess [org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentInitiator$ConnectionProviderJdbcConnectionAccess@27f4048f] for (non-JTA) DDL execution was not in auto-commit mode; the Connection 'local transaction' will be committed and the Connection will be set into auto-commit mode.
